flow_id,src_ip,src_port,dst_ip,dst_port,duration_ms,total_packets,total_bytes,fwd_packets,bwd_packets,fwd_bytes,bwd_bytes,packet_rate_per_sec,byte_rate_per_sec,avg_packet_size,min_packet_size,max_packet_size,std_packet_size,mean_iat_ms,min_iat_ms,max_iat_ms,std_iat_ms,syn_count,ack_count,fin_count,rst_count,psh_count,label_str,label
10.0.0.45:52549-91.190.219.143:443,10.0.0.45,52549,91.190.219.143,443,115.61298370361328,5.0,339.0,3.0,2.0,219.0,120.0,43.24773775251796,2932.1966196207177,67.8,54.0,99.0,16.497272501841024,28.90324592590332,0.4830360412597656,57.83700942993164,28.20933367370668,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52550-91.190.219.143:443,10.0.0.45,52550,91.190.219.143,443,122.57099151611328,5.0,339.0,3.0,2.0,219.0,120.0,40.79268624781171,2765.744127601634,67.8,54.0,99.0,16.497272501841024,30.64274787902832,0.4589557647705078,62.01314926147461,30.10937187100921,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52551-91.190.219.143:443,10.0.0.45,52551,91.190.219.143,443,115.6179904937744,5.0,339.0,3.0,2.0,219.0,120.0,43.24586492678431,2932.069642035976,67.8,54.0,99.0,16.497272501841024,28.904497623443604,0.6840229034423828,57.41286277770996,27.9785732083956,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52552-91.190.219.143:443,10.0.0.45,52552,91.190.219.143,443,120.01681327819824,5.0,339.0,3.0,2.0,219.0,120.0,41.66082954069136,2824.604242858874,67.8,54.0,99.0,16.497272501841024,30.00420331954956,0.576019287109375,58.9900016784668,28.52592071688575,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52553-91.190.219.143:443,10.0.0.45,52553,91.190.219.143,443,118.9730167388916,5.0,339.0,3.0,2.0,219.0,120.0,42.02633619834512,2849.385594247799,67.8,54.0,99.0,16.497272501841024,29.7432541847229,0.4949569702148437,58.984994888305664,29.170430130471622,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52554-91.190.219.143:443,10.0.0.45,52554,91.190.219.143,443,142.72713661193848,5.0,339.0,3.0,2.0,219.0,120.0,35.03188054276269,2375.1615007993105,67.8,54.0,99.0,16.497272501841024,35.68178415298462,0.5791187286376953,57.6930046081543,23.69578906646008,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52555-91.190.218.123:12350,10.0.0.45,52555,91.190.218.123,12350,4820.491075515747,21.0,7930.0,10.0,11.0,1098.0,6832.0,4.356402630151783,1645.0606122430306,377.6190476190476,54.0,1494.0,526.970991899796,241.02455377578733,0.0410079956054687,4087.089061737061,884.7567779050903,2.0,20.0,2.0,0.0,6.0,benign,0
10.0.0.45:52556-91.190.219.143:443,10.0.0.45,52556,91.190.219.143,443,124.68695640563963,5.0,339.0,3.0,2.0,219.0,120.0,40.10042545054735,2718.80884554711,67.8,54.0,99.0,16.497272501841024,31.171739101409912,2.254009246826172,56.44392967224121,25.057654038085165,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52557-91.190.219.143:443,10.0.0.45,52557,91.190.219.143,443,510.4541778564453,7.0,492.0,4.0,3.0,318.0,174.0,13.713277907519853,963.847532928538,70.28571428571429,54.0,99.0,18.82789940270468,85.07569630940755,0.4281997680664062,340.6860828399658,116.98252007110538,2.0,6.0,0.0,2.0,2.0,benign,0
10.0.0.45:52558-91.190.219.143:443,10.0.0.45,52558,91.190.219.143,443,130.11407852172852,5.0,339.0,3.0,2.0,219.0,120.0,38.42781701109323,2605.405993352121,67.8,54.0,99.0,16.497272501841024,32.52851963043213,1.2538433074951172,56.05888366699219,24.152376189814664,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52559-91.190.219.143:443,10.0.0.45,52559,91.190.219.143,443,115.97108840942384,5.0,339.0,3.0,2.0,219.0,120.0,43.1141939648615,2923.142350817609,67.8,54.0,99.0,16.497272501841024,28.99277210235596,0.4639625549316406,57.64412879943848,28.4184138283834,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52560-91.190.219.143:443,10.0.0.45,52560,91.190.219.143,443,117.89202690124512,5.0,339.0,3.0,2.0,219.0,120.0,42.4116891652763,2875.5125254057334,67.8,54.0,99.0,16.497272501841024,29.47300672531128,0.7331371307373047,58.46905708312988,28.631707250094557,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52561-91.190.219.143:443,10.0.0.45,52561,91.190.219.143,443,114.9909496307373,5.0,339.0,3.0,2.0,219.0,120.0,43.48168282857184,2948.058095777171,67.8,54.0,99.0,16.497272501841024,28.74773740768433,0.4189014434814453,57.18111991882324,28.22726303638791,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52562-91.190.216.17:33033,10.0.0.45,52562,91.190.216.17,33033,10233.482122421265,14.0,1425.0,7.0,7.0,892.0,533.0,1.3680582848067329,139.24878970354246,101.78571428571428,54.0,491.0,111.16601392989328,787.1909324939435,0.4100799560546875,9798.167943954468,2601.8033387993487,2.0,13.0,2.0,0.0,5.0,benign,0
10.0.0.45:52563-91.190.219.143:443,10.0.0.45,52563,91.190.219.143,443,114.0279769897461,5.0,339.0,3.0,2.0,219.0,120.0,43.848888071123305,2972.95461122216,67.8,54.0,99.0,16.497272501841024,28.506994247436523,0.4739761352539062,56.50901794433594,27.96857309447603,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52564-91.190.219.143:443,10.0.0.45,52564,91.190.219.143,443,118.01314353942873,5.0,339.0,3.0,2.0,219.0,120.0,42.36816213890174,2872.561393017538,67.8,54.0,99.0,16.497272501841024,29.503285884857178,0.6110668182373047,55.5109977722168,26.04148419982764,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52565-91.190.219.143:443,10.0.0.45,52565,91.190.219.143,443,135.23387908935547,5.0,339.0,3.0,2.0,219.0,120.0,36.97298364632624,2506.7682912209198,67.8,54.0,99.0,16.497272501841024,33.80846977233887,0.5559921264648438,57.74807929992676,24.30284310304765,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52566-91.190.219.143:443,10.0.0.45,52566,91.190.219.143,443,113.39402198791504,5.0,339.0,3.0,2.0,219.0,120.0,44.094035226414974,2989.5755883509355,67.8,54.0,99.0,16.497272501841024,28.34850549697876,0.5450248718261719,56.72502517700195,27.78379281119196,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52567-91.190.219.143:443,10.0.0.45,52567,91.190.219.143,443,115.3888702392578,5.0,339.0,3.0,2.0,219.0,120.0,43.33173545795659,2937.891664049457,67.8,54.0,99.0,16.497272501841024,28.847217559814453,0.5271434783935547,57.129859924316406,28.257172385314803,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52568-91.190.219.143:443,10.0.0.45,52568,91.190.219.143,443,114.84098434448242,5.0,339.0,3.0,2.0,219.0,120.0,43.538463454839125,2951.9078222380926,67.8,54.0,99.0,16.497272501841024,28.710246086120605,0.4088878631591797,57.29508399963379,28.24282696470728,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52569-91.190.219.143:443,10.0.0.45,52569,91.190.219.143,443,117.88702011108398,5.0,339.0,3.0,2.0,219.0,120.0,42.41349043591517,2875.6346515550485,67.8,54.0,99.0,16.497272501841024,29.471755027771,0.292062759399414,58.7460994720459,29.047845568137284,2.0,4.0,0.0,1.0,1.0,benign,0
10.0.0.45:52570-91.190.219.143:443,10.0.0.45,52570,91.190.219.143,443,124.94492530822754,5.0,339.0,3.0,2.0,219.0,120.0,40.01763166983744,2713.1954272149787,67.8,54.0,99.0,16.497272501841024,31.236231327056885,0.4701614379882812,66.35689735412598,30.853404020861557,2.0,4.0,0.0,1.0,1.0,benign,0
